Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
NOIDATOLL,,NOIDATOLL,,NIFTY,,INDIGO,,NIFTY,,MSUMI,,MSUMI,,MON100,,LICMFGOLD,,ABSLLIQUID,,AXISBANK,,3IINFOLTD,,IDEA,,Close,15/01/26,Thursday,Municipal Corporation Election - Maharashtra,,"Buy Right, Sit Tight.",Popular Bhartiya (Indian) investing principle,,360ONE,500,500,500
SOMANYCERA,,SOMANYCERA,,BANKNIFTY,,MARUTI,,BANKNIFTY,,HFCL,,SYRMA,,MAFANG,,TATAGOLD,,SILVERBND,,BAJAJ-AUTO,,DHANI,,IOB,,Close,26/01/26,Monday,Republic Day,,"Don’t follow tips, follow knowledge.",Common Bhartiya (Indian) trading wisdom,,ABB,125,125,125
RISHABH,,RISHABH,,FINNIFTY,,M&M,,UNOMINDA,,TATACHEM,,KAYNES,,MASPTOP50,,EGOLD,,SILVERIETF,,BAJAJFINSV,,HATHWAY,,YESBANK,,Close,03/03/26,Tuesday,Holi,,"In bull markets, everyone is a genius.",Widely used in Bhartiya (Indian) trading circles,,ABCAPITAL,3100,3100,3100
PURVA,,PURVA,,NIFTYNXT50,,MAXHEALTH,,FORCEMOT,,INDIGO,,STLTECH,,OILIETF,,CHOICEGOLD,,SILVER,,BAJFINANCE,,MARINE,,UCOBANK,,Close,26/03/26,Thursday,Shri Ram Navami,,"Investing is not about timing the market, but about time in the market.",Vijay Kedia,,ADANIENSOL,675,675,675
DECNGOLD,,DECNGOLD,,MIDCPNIFTY,,DRREDDY,,INDIGO,,KAYNES,,HFCL,,MOCAPITAL,,GOLDCASE,,ESILVER,,BEL,,OLAELEC,,CENTRALBK,,Close,31/03/26,Tuesday,Shri Mahavir Jayanti,,The stock market is a place where money moves from the active to the patient.,Sanjiv Bhasin,,ADANIENT,309,309,309
SAKSOFT,,SAKSOFT,,,,SHRIRAMFIN,,KAYNES,,UNOMINDA,,INDIGO,,MOENERGY,,GOLDIETF,,AXISILVER,,BHARTIARTL,,ASIANTILES,,IRB,,Close,03/04/26,Friday,Good Friday,,"If you don’t build your dream, someone else will hire you to help them build theirs.",Dhirubhai Ambani,,ADANIGREEN,600,600,600
SPENCERS,,SPENCERS,,,,BAJAJ-AUTO,,MARUTI,,FORCEMOT,,UNOMINDA,,CPSEETF,,GOLDBEES,,SILVERBEES,,BPCL,,IEX,,MSUMI,,Close,14/04/26,Tuesday,Dr. Baba Saheb Ambedkar Jayanti,,"Think big, think fast, think ahead. Ideas are no one’s monopoly.",Dhirubhai Ambani,,ADANIPORTS,475,475,475
FMNL,,YASHO,,,,TCS,,MAXHEALTH,,SYRMA,,VIJAYA,,GROWWCAPM,,SETFGOLD,,SBISILVER,,BRITANNIA,,UNITECH,,SAGILITY,,Close,01/05/26,Friday,Maharashtra Day,,The biggest risk is not taking any risk.,N. R. Narayana Murthy,,ADANIPOWER,3550,3550,3550
YASHO,,FMNL,,,,SBIN,,MOTHERSON,,VIJAYA,,TATACHEM,,MAHKTECH,,GOLD1,,SILVERBETA,,CIPLA,,ELECTCAST,,PSB,,Close,28/05/26,Thursday,Bakri Id,,Value investing is about buying something for less than what it is worth.,Porinju Veliyath,,ALKEM,125,125,125
DREDGECORP,,DREDGECORP,,,,TMPV,,SBICARD,,MAXHEALTH,,MAXHEALTH,,GROWWMETAL,,GROWWGOLD,,SILVERADD,,COALINDIA,,HDIL,,OLAELEC,,Close,26/06/26,Friday,Muharram,,Patience is the key to making big money in the market.,Radhakishan Damani,,AMBER,100,100,100
